,document_processed
538,dear great souled carlyle natural gushings forth true freshness real grandeur rugged yes undoubtedly sometimes rugged startling drawing room magnificent put beside mention breath father one flair said thomas immortal generation generation puniness raising little voice doubt still worse giving trouble raise incredible thus reported even reading mr fisher read either different read certainly read course read teufelsdr ck quite well remembered tailor called teufelsdr ck like carlyle call yes must read though naturally detail escaped
539,gong sounded lost reminiscence mr fisher forgotten time hastened bedroom wash hand smoothe hair wish late set bad example perhaps find seat head table taken one could put trust manner younger generation especially mr wilkins
540,however first arrive dining room francesca white apron stood ready enormous dish smoking hot glistening maccaroni nobody eat
541,mr fisher sat looking stern lax lax
542,serve said francesca showed disposition wait others
543,francesca served party liked mr fisher least fact like one four lady yet smiled true old true unbeautiful true therefore reason smile kind lady smiled reason smiled happy wished make happy one four lady could francesca decided kind handed maccaroni unable hide feeling morosely
544,well cooked mr fisher never cared maccaroni especially long worm shaped variety found difficult eat slippery wriggling fork making look felt undignified got supposed mouth end yet hung always ate reminded mr fisher married life behaved much like maccaroni slipped wriggled made feel undignified last got safe thought invariably little bit still hung
545,francesca sideboard watched mr fisher way maccaroni gloomily gloom deepened saw last take knife chop small
546,mr fisher really know else get hold stuff aware knife connection improper one finally lose patience maccaroni never allowed appear table london apart tiresomeness even like would tell lady caroline order year practice reflected mr fisher chopping year actual living italy would necessary learn exact trick browning managed maccaroni wonderfully remembered watching one day came lunch father dish ordered compliment connection italy fascinating way went chasing round plate slidings fork subsequent protrusion loose end one dig one whisk one thrust one gulp lo yet another poet nourished
547,shall go seek young lady asked francesca unable longer look good maccaroni cut knife
548,mr fisher came reminiscent reflection difficulty know lunch half past twelve said know
549,may asleep said francesca lady away one far away
550,beat gong said mr fisher
551,manner thought manner hotel consideration due must say surprised mr arbuthnot looked like somebody unpunctual lady caroline seemed amiable courteous whatever else might one course expected nothing
